Date_of_journey,Journey_day,Airline,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Fare
2023-03-04,Saturday,Vistara,Premium Economy,Kolkata,After 6 PM,2+-stop,After 6 PM,Mumbai,22.3333,14100
2023-03-04,Saturday,Air India,Business,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,11.4167,54879
2023-02-03,Friday,Vistara,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,8.5833,19664
2023-02-16,Thursday,Vistara,Premium Economy,Mumbai,6 AM - 12 PM,non-stop,6 AM - 12 PM,Delhi,2.0833,7266
2023-03-03,Friday,Vistara,Economy,Delhi,6 AM - 12 PM,1-stop,6 AM - 12 PM,Hyderabad,20.0833,9840
2023-02-22,Wednesday,Air India,Economy,Kolkata,After 6 PM,1-stop,After 6 PM,Delhi,23.75,10881
2023-01-26,Thursday,Vistara,Business,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,16.9167,44178
2023-02-21,Tuesday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Hyderabad,5.4167,39377
2023-02-26,Sunday,Vistara,Economy,Ahmedabad,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,6.4167,8842
2023-02-22,Wednesday,Vistara,Premium Economy,Ahmedabad,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,15.0833,12601
2023-02-14,Tuesday,Indigo,Economy,Bangalore,12 PM - 6 PM,1-stop,After 6 PM,Delhi,8.0,5659
2023-02-16,Thursday,Vistara,Economy,Delhi,After 6 PM,1-stop,12 PM - 6 PM,Hyderabad,15.5833,10260
2023-02-14,Tuesday,Vistara,Economy,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,8.25,11508
2023-01-19,Thursday,Vistara,Economy,Mumbai,After 6 PM,1-stop,12 PM - 6 PM,Chennai,19.4167,16370
2023-02-27,Monday,Air India,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Delhi,5.4167,7170
2023-01-27,Friday,Air India,Business,Mumbai,After 6 PM,1-stop,12 PM - 6 PM,Delhi,15.9167,59021
2023-02-11,Saturday,Indigo,Economy,Kolkata,After 6 PM,1-stop,6 AM - 12 PM,Chennai,7.8333,8912
2023-03-06,Monday,Air India,Business,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Ahmedabad,11.5833,52527
2023-03-04,Saturday,Vistara,Economy,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Chennai,6.5833,15370
2023-01-29,Sunday,GO FIRST,Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Delhi,11.5833,11612
2023-01-24,Tuesday,Air India,Economy,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Delhi,9.75,10642
2023-03-04,Saturday,GO FIRST,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.25,5801
2023-01-28,Saturday,Vistara,Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,13.9167,7379
2023-02-08,Wednesday,Vistara,Business,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,16.0,64995
2023-02-14,Tuesday,Vistara,Premium Economy,Ahmedabad,6 AM - 12 PM,1-stop,Before 6 AM,Mumbai,41.9167,19487
2023-02-18,Saturday,Air India,Economy,Ahmedabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Kolkata,24.1667,19380
2023-02-14,Tuesday,Air India,Business,Bangalore,Before 6 AM,1-stop,After 6 PM,Kolkata,16.6667,60703
2023-01-29,Sunday,Air India,Economy,Hyderabad,12 PM - 6 PM,1-stop,Before 6 AM,Chennai,11.8333,11429
2023-02-07,Tuesday,Indigo,Economy,Hyderabad,Before 6 AM,non-stop,6 AM - 12 PM,Chennai,1.5,4687
2023-02-09,Thursday,Vistara,Premium Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,12.9167,14176
2023-01-17,Tuesday,Vistara,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,10.0,15122
2023-02-10,Friday,Vistara,Premium Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,14.0,14714
2023-02-08,Wednesday,Air India,Economy,Delhi,12 PM - 6 PM,1-stop,Before 6 AM,Chennai,11.0833,8895
2023-01-20,Friday,Vistara,Premium Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,11.4167,26560
2023-03-03,Friday,Air India,Business,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Chennai,9.25,49613
2023-02-11,Saturday,Indigo,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,7.5,10235
2023-02-02,Thursday,Indigo,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,7.0,8545
2023-01-30,Monday,Air India,Business,Kolkata,12 PM - 6 PM,1-stop,12 PM - 6 PM,Mumbai,24.75,43729
2023-02-26,Sunday,Vistara,Premium Economy,Delhi,After 6 PM,2+-stop,12 PM - 6 PM,Hyderabad,18.25,11269
2023-02-02,Thursday,Vistara,Business,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Ahmedabad,27.6667,59793
2023-02-16,Thursday,GO FIRST,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,11.1667,7110
2023-02-13,Monday,Vistara,Premium Economy,Chennai,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,5.5,17054
2023-01-20,Friday,Vistara,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,9.4167,20586
2023-02-07,Tuesday,Vistara,Economy,Delhi,12 PM - 6 PM,1-stop,Before 6 AM,Hyderabad,9.75,9840
2023-02-01,Wednesday,Air India,Business,Delhi,After 6 PM,non-stop,After 6 PM,Bangalore,3.25,32859
2023-01-29,Sunday,Vistara,Business,Mumbai,6 AM - 12 PM,non-stop,6 AM - 12 PM,Hyderabad,1.4167,17604
2023-02-14,Tuesday,Air India,Economy,Kolkata,After 6 PM,1-stop,6 AM - 12 PM,Delhi,13.9167,10881
2023-03-03,Friday,Air India,Business,Kolkata,12 PM - 6 PM,1-stop,6 AM - 12 PM,Chennai,14.1667,55105
2023-02-16,Thursday,Vistara,Business,Ahmedabad,12 PM - 6 PM,1-stop,12 PM - 6 PM,Chennai,24.75,54388
2023-01-20,Friday,Indigo,Economy,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,8.9167,15712
2023-02-15,Wednesday,Indigo,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,5.75,9186
2023-02-26,Sunday,Vistara,Business,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,11.0833,101798
2023-02-13,Monday,Vistara,Economy,Bangalore,6 AM - 12 PM,1-stop,6 AM - 12 PM,Chennai,5.1667,6844
2023-03-02,Thursday,Air India,Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,10.8333,7456
2023-02-16,Thursday,Indigo,Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,6.6667,12666
2023-02-08,Wednesday,Indigo,Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Kolkata,6.3333,6920
2023-01-25,Wednesday,Indigo,Economy,Bangalore,After 6 PM,non-stop,Before 6 AM,Kolkata,2.4167,9469
2023-02-19,Sunday,Vistara,Premium Economy,Bangalore,After 6 PM,1-stop,After 6 PM,Hyderabad,24.1667,14447
2023-01-23,Monday,Vistara,Economy,Mumbai,6 AM - 12 PM,1-stop,6 AM - 12 PM,Bangalore,5.8333,15257
2023-03-06,Monday,Indigo,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,6.8333,6607
2023-02-17,Friday,Vistara,Business,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,5.5833,78635
2023-01-18,Wednesday,Vistara,Economy,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Hyderabad,16.0833,18188
2023-02-18,Saturday,Vistara,Premium Economy,Mumbai,12 PM - 6 PM,2+-stop,6 AM - 12 PM,Bangalore,22.5,21736
2023-01-28,Saturday,Air India,Business,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.1667,22152
2023-01-24,Tuesday,Vistara,Business,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,10.25,69641
2023-03-04,Saturday,Indigo,Economy,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,6.6667,11027
2023-03-06,Monday,Vistara,Premium Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,7.4167,12675
2023-02-09,Thursday,Indigo,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,6.3333,7704
2023-02-25,Saturday,AirAsia,Economy,Bangalore,Before 6 AM,1-stop,12 PM - 6 PM,Kolkata,7.25,6813
2023-02-07,Tuesday,Indigo,Economy,Chennai,After 6 PM,1-stop,Before 6 AM,Delhi,5.5833,8633
2023-02-17,Friday,Indigo,Economy,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,5.3333,6214
2023-02-03,Friday,Air India,Business,Bangalore,Before 6 AM,1-stop,12 PM - 6 PM,Kolkata,8.75,60703
2023-03-02,Thursday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Ahmedabad,16.3333,33881
2023-02-01,Wednesday,Air India,Economy,Chennai,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,1.9167,7009
2023-01-25,Wednesday,Vistara,Business,Bangalore,After 6 PM,1-stop,After 6 PM,Ahmedabad,4.0,45021
2023-02-12,Sunday,Vistara,Premium Economy,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,11.25,9198
2023-02-19,Sunday,Air India,Economy,Bangalore,Before 6 AM,1-stop,After 6 PM,Kolkata,13.25,12903
2023-03-04,Saturday,Vistara,Business,Mumbai,After 6 PM,1-stop,After 6 PM,Ahmedabad,21.8333,48717
2023-03-04,Saturday,Vistara,Premium Economy,Delhi,12 PM - 6 PM,1-stop,Before 6 AM,Hyderabad,6.3333,12262
2023-01-30,Monday,Vistara,Premium Economy,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Hyderabad,14.6667,14447
2023-02-15,Wednesday,Vistara,Economy,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Ahmedabad,5.25,7962
2023-03-01,Wednesday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,6.1667,33881
2023-01-26,Thursday,Indigo,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,6.1667,18103
2023-02-05,Sunday,Vistara,Business,Ahmedabad,Before 6 AM,1-stop,After 6 PM,Delhi,16.8333,33828
2023-03-06,Monday,Air India,Business,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,15.9167,51505
2023-01-18,Wednesday,Vistara,Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Kolkata,9.5,13713
2023-01-17,Tuesday,Vistara,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,6.1667,18555
2023-03-05,Sunday,GO FIRST,Economy,Bangalore,12 PM - 6 PM,1-stop,Before 6 AM,Delhi,11.1667,9222
2023-02-24,Friday,Vistara,Business,Chennai,After 6 PM,1-stop,12 PM - 6 PM,Ahmedabad,20.1667,48753
2023-01-28,Saturday,SpiceJet,Economy,Mumbai,After 6 PM,1-stop,Before 6 AM,Bangalore,25.5,15201
2023-01-23,Monday,Indigo,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Kolkata,5.4167,16747
2023-02-25,Saturday,Vistara,Business,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,9.6667,43878
2023-01-17,Tuesday,Air India,Economy,Mumbai,After 6 PM,1-stop,Before 6 AM,Delhi,6.8333,11613
2023-02-02,Thursday,Indigo,Economy,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,8.6667,5237
2023-01-23,Monday,Vistara,Economy,Ahmedabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,8.3333,17801
2023-02-15,Wednesday,Indigo,Economy,Ahmedabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,5.4167,9845
2023-02-27,Monday,Vistara,Economy,Mumbai,12 PM - 6 PM,non-stop,12 PM - 6 PM,Bangalore,1.75,3654
2023-01-17,Tuesday,Air India,Business,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Delhi,14.4167,54465
2023-02-10,Friday,Air India,Economy,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,6.3333,11328
2023-03-05,Sunday,Vistara,Economy,Chennai,12 PM - 6 PM,1-stop,Before 6 AM,Delhi,11.6667,9021
2023-02-11,Saturday,Vistara,Business,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,8.6667,65555
2023-02-09,Thursday,Air India,Economy,Mumbai,Before 6 AM,1-stop,6 AM - 12 PM,Kolkata,5.25,11088
2023-02-15,Wednesday,Indigo,Economy,Kolkata,6 AM - 12 PM,non-stop,6 AM - 12 PM,Delhi,2.5833,7557
2023-02-24,Friday,Air India,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,26.0833,8234
2023-02-18,Saturday,Vistara,Premium Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,13.5833,10560
2023-03-05,Sunday,Air India,Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,12.0,10815
2023-02-15,Wednesday,Air India,Business,Kolkata,After 6 PM,1-stop,12 PM - 6 PM,Hyderabad,16.0,52081
2023-01-26,Thursday,Vistara,Economy,Chennai,6 AM - 12 PM,2+-stop,6 AM - 12 PM,Mumbai,18.9167,13398
2023-01-21,Saturday,Vistara,Economy,Bangalore,After 6 PM,1-stop,After 6 PM,Chennai,22.25,13806
2023-03-06,Monday,Vistara,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Kolkata,12.0,13620
2023-01-21,Saturday,Air India,Economy,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,8.9167,25048
2023-01-31,Tuesday,Indigo,Economy,Mumbai,Before 6 AM,1-stop,6 AM - 12 PM,Kolkata,7.0833,9765
2023-01-29,Sunday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,8.4167,55696
2023-02-13,Monday,Air India,Business,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Hyderabad,12.3333,56671
2023-03-02,Thursday,AkasaAir,Economy,Bangalore,12 PM - 6 PM,non-stop,12 PM - 6 PM,Ahmedabad,2.3333,6210
2023-02-24,Friday,Vistara,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,5.6667,13971
2023-02-14,Tuesday,Indigo,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,6.25,9615
2023-01-25,Wednesday,Indigo,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,4.9167,11467
2023-02-21,Tuesday,Air India,Business,Bangalore,After 6 PM,1-stop,After 6 PM,Kolkata,28.5833,52012
2023-02-14,Tuesday,Air India,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,9.0833,8983
2023-01-25,Wednesday,Indigo,Economy,Mumbai,6 AM - 12 PM,1-stop,6 AM - 12 PM,Hyderabad,4.75,8495
2023-01-21,Saturday,AirAsia,Economy,Kolkata,12 PM - 6 PM,1-stop,Before 6 AM,Bangalore,11.3333,12979
2023-02-04,Saturday,Air India,Economy,Kolkata,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,19.9167,9972
2023-03-02,Thursday,Vistara,Premium Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Chennai,11.5,16394
2023-01-17,Tuesday,Indigo,Economy,Hyderabad,After 6 PM,1-stop,After 6 PM,Bangalore,5.0,16994
2023-01-24,Tuesday,AirAsia,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,12.75,5291
2023-03-01,Wednesday,SpiceJet,Economy,Mumbai,After 6 PM,non-stop,After 6 PM,Kolkata,2.5,8040
2023-02-12,Sunday,Vistara,Business,Chennai,After 6 PM,1-stop,After 6 PM,Delhi,23.25,52065
2023-02-01,Wednesday,Air India,Economy,Mumbai,12 PM - 6 PM,2+-stop,12 PM - 6 PM,Kolkata,24.0,11445
2023-01-23,Monday,Air India,Economy,Ahmedabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,32.9167,13980
2023-02-03,Friday,Air India,Economy,Mumbai,After 6 PM,2+-stop,6 AM - 12 PM,Hyderabad,14.75,27159
2023-02-13,Monday,Vistara,Business,Kolkata,12 PM - 6 PM,1-stop,6 AM - 12 PM,Bangalore,14.25,52305
2023-01-23,Monday,Vistara,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Chennai,5.5,11751
2023-02-12,Sunday,Vistara,Economy,Chennai,12 PM - 6 PM,1-stop,After 6 PM,Kolkata,31.0833,18754
2023-02-16,Thursday,Vistara,Premium Economy,Delhi,Before 6 AM,1-stop,After 6 PM,Ahmedabad,18.1667,10560
2023-01-16,Monday,Vistara,Premium Economy,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,10.5,46544
2023-01-26,Thursday,Vistara,Premium Economy,Mumbai,After 6 PM,1-stop,12 PM - 6 PM,Hyderabad,16.8333,17906
2023-01-22,Sunday,Vistara,Economy,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,8.4167,8361
2023-01-26,Thursday,Vistara,Economy,Mumbai,After 6 PM,1-stop,After 6 PM,Chennai,21.5,13535
2023-02-11,Saturday,Air India,Economy,Bangalore,After 6 PM,1-stop,After 6 PM,Kolkata,26.5,8902
2023-03-03,Friday,Air India,Business,Hyderabad,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,14.8333,46118
2023-02-08,Wednesday,Vistara,Business,Bangalore,6 AM - 12 PM,1-stop,6 AM - 12 PM,Chennai,27.4167,44475
2023-03-05,Sunday,AirAsia,Economy,Bangalore,Before 6 AM,1-stop,12 PM - 6 PM,Mumbai,8.5833,5707
2023-02-13,Monday,Vistara,Economy,Delhi,12 PM - 6 PM,2+-stop,After 6 PM,Chennai,9.5833,15158
2023-01-18,Wednesday,Vistara,Economy,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Delhi,16.0,20953
2023-02-05,Sunday,Indigo,Economy,Bangalore,After 6 PM,non-stop,After 6 PM,Mumbai,1.8333,3890
2023-02-07,Tuesday,Vistara,Business,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,14.25,62316
2023-02-10,Friday,Vistara,Premium Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,13.3333,14714
2023-02-18,Saturday,Vistara,Premium Economy,Ahmedabad,After 6 PM,1-stop,After 6 PM,Kolkata,25.8333,16496
2023-03-01,Wednesday,Vistara,Economy,Chennai,After 6 PM,1-stop,6 AM - 12 PM,Bangalore,14.3333,5997
2023-02-14,Tuesday,Vistara,Business,Delhi,6 AM - 12 PM,1-stop,6 AM - 12 PM,Hyderabad,20.0833,58753
2023-02-18,Saturday,Vistara,Premium Economy,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,11.3333,16496
2023-03-01,Wednesday,AirAsia,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,9.0,12186
2023-02-25,Saturday,Air India,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,9.4167,12671
2023-01-24,Tuesday,Vistara,Premium Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Ahmedabad,9.25,19622
2023-01-30,Monday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Kolkata,27.25,72585
2023-01-26,Thursday,Air India,Economy,Hyderabad,After 6 PM,1-stop,After 6 PM,Bangalore,20.0,8227
2023-01-23,Monday,GO FIRST,Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Delhi,8.8333,10183
2023-01-27,Friday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Chennai,10.1667,45672
2023-01-22,Sunday,Air India,Economy,Bangalore,12 PM - 6 PM,1-stop,After 6 PM,Kolkata,25.8333,18573
2023-02-21,Tuesday,Vistara,Business,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,7.75,59805
2023-02-04,Saturday,AllianceAir,Economy,Hyderabad,After 6 PM,non-stop,After 6 PM,Bangalore,1.5833,3423
2023-02-25,Saturday,Air India,Business,Hyderabad,After 6 PM,1-stop,After 6 PM,Bangalore,20.0,38278
2023-02-28,Tuesday,Indigo,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,8.5,7487
2023-02-21,Tuesday,Air India,Economy,Hyderabad,12 PM - 6 PM,1-stop,12 PM - 6 PM,Chennai,20.1667,10805
2023-02-19,Sunday,Vistara,Premium Economy,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,8.6667,18521
2023-03-03,Friday,Air India,Economy,Chennai,After 6 PM,1-stop,12 PM - 6 PM,Kolkata,18.0,15283
2023-02-28,Tuesday,Vistara,Business,Bangalore,6 AM - 12 PM,1-stop,12 PM - 6 PM,Ahmedabad,10.0,32684
2023-02-10,Friday,AirAsia,Economy,Bangalore,12 PM - 6 PM,2+-stop,6 AM - 12 PM,Mumbai,14.75,7069
2023-01-22,Sunday,Vistara,Business,Bangalore,After 6 PM,1-stop,12 PM - 6 PM,Ahmedabad,22.1667,45021
2023-02-12,Sunday,Vistara,Economy,Mumbai,6 AM - 12 PM,2+-stop,6 AM - 12 PM,Kolkata,27.0,11885
2023-03-05,Sunday,Air India,Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,9.5,11057
2023-01-16,Monday,Indigo,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.0,13066
2023-02-11,Saturday,Vistara,Economy,Delhi,12 PM - 6 PM,2+-stop,6 AM - 12 PM,Chennai,22.5,15023
2023-02-12,Sunday,Air India,Business,Chennai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Mumbai,18.4167,49713
2023-02-15,Wednesday,Air India,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,7.8333,16245
2023-03-01,Wednesday,Vistara,Business,Ahmedabad,12 PM - 6 PM,1-stop,12 PM - 6 PM,Hyderabad,21.0,43412
